CountyState,Average,RegionID
"Mesa, CO",296200,31819
"York, SC",236100,13554
"Dekalb, GA",221000,41084
"Cass, ND",217200,18073
"Middlesex, NJ",503700,11267
"Los Angeles, CA",664500,14542
"San Diego, CA",991500,3975
"Solano, CA",544700,41446
"Denton, TX",228200,39420
"Washington, OR",489200,30381
"Saint Johns, FL",321400,26900
"Palm Beach, FL",283800,7858
"Boone, MO",239000,10918
"Erie, PA",131500,11335
"Gwinnett, GA",231200,53588
"Brown, WI",123800,45548
"Solano, CA",548400,18053
"Madera, CA",300200,32629
"San Mateo, CA",1414800,13699
"Merced, CA",294900,25855
"San Mateo, CA",1048400,31163
"Riverside, CA",377500,13256
"Wayne, MI",186200,32542
"Alameda, CA",739300,13698
"Wayne, MI",133300,24336
"Los Angeles, CA",542700,47762
"Fulton, GA",662000,13709
"Albany, NY",261800,37074
"Dallas, TX",270400,54121
"Portsmouth City, VA",216400,53978
"Gregg, TX",206700,12438
"Prince Georges, MD",446400,35593
"Clay, FL",250600,6334
"Indian River, FL",268900,7680
"Hernando, FL",209700,27219
"Gwinnett, GA",343200,51757
"Broward, FL",414900,11049
"Chester, PA",560600,41629
"Howard, MD",487300,10917
"Middlesex, MA",1235800,40013
"Plymouth, MA",328800,44328
"Dougherty, GA",148600,16701
"Polk, FL",204900,25483
"Douglas, KS",273900,32452
"Lee, FL",212000,5595
"Napa, CA",736400,6112
"Orange, CA",685200,12773
"Santa Cruz, CA",1011600,13715
"Ocean, NJ",405400,395471
"Contra Costa, CA",529700,16780
"Arapahoe, CO",579900,44515
"Hillsborough, FL",270400,6790
"Kenosha, WI",220200,39220
"Saint Joseph, IN",62700,20555
"Jefferson, CO",486400,10181
"Anne Arundel, MD",562600,16773
"Macomb, MI",273700,37933
"San Bernardino, CA",405200,33645
"Riverside, CA",388300,45878
"Douglas, CO",615400,38992
"Bristol, MA",304500,33058
"King, WA",451100,45255
"Washington, OR",470100,11914
"Salt Lake, UT",440500,6932
"Champaign, IL",138700,4042
"Northampton, PA",388500,397569
"Weld, CO",334200,11695
"Wayne, MI",244500,10700
"Kane, IL",301500,17943
